what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1292071401817
arch,sysinfo,,,"x86",1292071401817
ws,sysinfo,,,"win32",1292071401817
locale,sysinfo,,,"zh_CN",1292071401817
processors,sysinfo,,,"4",1292071401817
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1292071401817
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1292071401817
java.specification.name,sysinfo,,,"Java Platform API Specification",1292071401817
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1292071401817
java.specification.version,sysinfo,,,"1.6",1292071401817
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1292071401817
java.version,sysinfo,,,"1.6.0_22",1292071401817
java.vm.info,sysinfo,,,"mixed mode, sharing",1292071401817
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1292071401817
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1292071401817
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1292071401817
java.vm.specification.version,sysinfo,,,"1.0",1292071401817
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1292071401817
java.vm.version,sysinfo,,,"17.1-b03",1292071401817
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1292071401824
